# R4-A exact change inventory

Base revision	76fcb87ca74075c492f7c20ffd021c47671d0052
Pathspec	celestina/
Pathspec	celestina-rs/crates/celestina-shell-core/
Pathspec	docs/version-history.tsv
Calculation	tracked paths use git diff --numstat --no-renames; new paths use /dev/null
Hashes	SHA-256 of final bytes

added	deleted	content	path
3	0	4a075b19df66841fb1590881f3bbfe1659bdda0c65c3a8f2e239fb8619e87825	celestina-rs/crates/celestina-shell-core/src/lib.rs
787	0	bf189dec78b6699ad4d8ca76d46a5171492cc2ba2c6c2ff92fdcad96021d0f57	celestina-rs/crates/celestina-shell-core/src/notifications.rs
6	1	4181523444b6d2032a6e2e50b54ec73addb8d0427d03b6a5c8237db97228fdce	celestina/CMakeLists.txt
710	2	b82ed9f9839dc787037e915171eeae9974723299284f910a7b7abe0d0472da18	celestina/Cargo.lock
8	1	70002f7b5a4662876b5e266b8297ef3e1f895433329ca4784ba9f442681cde6a	celestina/Cargo.toml
16	6	3a6ff900edd7afd08934f60e20891095d7dfcab2375b817e90730d8246edda15	celestina/ROADMAP.md
12	2	336023143c78f6ba04971f45dd865952103e06c134a2be4ed76cc206ba94d287	celestina/STATUS.md
20	3	92f36c8773e335b4c3b7b6cde0bc922a8e311d8a405461eef7affc50a300d7ea	celestina/VALIDATION.md
78	0	9db070054e535342dd2f6b9d30e8e34881cc380f18f1b6ebda96b175b0853d2b	celestina/docs/evidence/2026-08-04-r4-notifications.md
2	1	29977060871ea7a9a642993803f8383c7091697abb29200f1d465cf493ee6b2a	celestina/docs/plans/README.md
1	1	ca598ae2c955e29ca66ade88fbbd5ee0a542177a93b74510a4bb239a0def53a0	celestina/docs/plans/active/README.md
117	0	a08b32dcc452230c1b87bd2f65c05ce468dc5443de755d9c18124830ea74b365	celestina/docs/plans/archive/2026-08-04-r4-notifications.md
1	0	55af30003151f77e4eab5f1a51e4acd016738a950355ac4b386f20953a63778b	celestina/docs/plans/archive/README.md
270	0	4dbec661a1a5e90ed286e32a00dacbb634bbee35c32af7e20e53fe514467b37c	celestina/qml/NotificationCenter.qml
89	0	4a93819b49c30b6816c067685b072ed666fba7b52df0245c357fede852c2611e	celestina/qml/NotificationIndicator.qml
11	0	f06303a3bba7513f22a8981cff3c9f526c5f746e32ea89271fef15e4aeea303d	celestina/qml/Panel.qml
177	0	d9eca6d39f961c38be1da2b35adc50b7ef4a0bca13f206a90d1d2dbc2cd656c0	celestina/qml/ToastStack.qml
20	0	04377289d976ade1fefe4b654ce39092c77168f65cf4ac4e4992f82ce478d265	celestina/src/main.cpp
1	1	4c074e97c89b04d6c6082ced808f53242be6629123bff0890296b67878689ebc	celestina/src/osdcontroller.cpp
55	12	19f4ee55fc080a39da6a1b441f5f2a59bd3a440630414a7b14e221398b5e0471	celestina/src/overlaysurface.cpp
7	2	6080c17c1dcff3f7a8005efbc44eb5e10e2dc1842e7a9ea0b4508c73e6928537	celestina/src/overlaysurface.h
20	0	5658f8d09135c984db66aaac808fe7849daf7cc754d44b21677c2b1542bea09f	celestina/src/panelmanager.cpp
10	0	e8a24f91de71277d6b2caa970edd9499da19c048538a62034bd51677cf0fbe86	celestina/src/panelmanager.h
5	0	0ae6d981d9656a291e59973737f9042abdad1f93ce8e842c14df0c8c53f27bef	celestina/src/provider_adapter/main.rs
449	0	61b32d04c9fc0d3195b106ab07610fae20dcfc1abccd3b5c0935461a874812d4	celestina/src/provider_adapter/notifications.rs
7	0	1c154a7d8feaa63cf678f31125533715d80123983a1a00cc518c9b4ef886f308	celestina/src/shellservice.cpp
2	0	4704256d480815c8d6e7f751493443c0ae9ee95371f3bd8be87d882b0a366358	celestina/src/shellservice.h
130	0	573cb42b5df3da20b6268899e759f23da57b299d342c55af90e93d5d43ee49ce	celestina/src/toastcontroller.cpp
52	0	69e5942b27a82264e9d33d8fd96fac8dac3d3ae3229b50a6d5c3a9bbfeca948b	celestina/src/toastcontroller.h
291	0	896cc201ea312496aeccf0b3cd7b650028be76fac457a76cb3edb801708b0a82	celestina/tests/notification_server.rs
29	6	732399af095cd35b49df1f5cf90effd7596d00661d866fff80ec2263b69dd3af	celestina/tests/surfacemanager_test.cpp
114	0	0d53e7e4f5d38d096bcff54a623b4a24f6dca715fb0c0e5b957d5bc82f31d073	celestina/tests/tst_notifications.qml
1	0	d390caaad90ce12adcc61592e43ce7d3ff798874719fd06bad3b00264b51aabb	docs/version-history.tsv
44	0	self	celestina/docs/inventories/2026-08-04-r4-notifications/R4-A.numstat.tsv
