# F6-A exact change inventory

Base revision	92aa9d3605a19a47b9fe75d293983150d1c6521e
Pathspec	celestina-rs/crates/fluorita-core/
Pathspec	celestina-rs/crates/fluorita-engine/
Pathspec	docs/version-history.tsv
Pathspec	fluorita/
Calculation	tracked paths use git diff --numstat --no-renames; new paths use /dev/null
Hashes	SHA-256 of final bytes; symlinks hash link-target bytes

added	deleted	content	path
91	1	8f9b2c5f10486956d48f28541e95162fd5e3fc2ad176dd2ad1204b861687b73a	celestina-rs/crates/fluorita-core/src/catalogue.rs
17	1	71d3325496eec7d250ec1c479ad6d4609b1222d89be6dbb9c5ea24590684e92f	celestina-rs/crates/fluorita-engine/src/library.rs
1	0	f549ac245a9774ddf19d4e6ffd2b9ec71b6be9d05c2d3922767ad6f0cb0aadd7	docs/version-history.tsv
9	1	cafe45095e0eae9325afc36415f578b3430a256a289f07be2d19eb7c1d5d309d	fluorita/Cargo.lock
7	1	afe8176d4ce6d065077c37a8ca32e0d58fb1b820a136c6b7555516193b2a8a28	fluorita/Cargo.toml
41	3	47d02539bd5769c3cfc06d58028bd58efa25adfdacd52270fb08cf751317e61b	fluorita/ROADMAP.md
13	0	5d3839649b92b581610636dcf749d6c73379219aadda89b85c7f12b2af8378d6	fluorita/build.rs
75	0	1dcbb27f6daad2116ed56f3a6103bb3583056fb15b1b75568597970df9278ca7	fluorita/docs/evidence/2026-08-04-immersive-content.md
47	0	self	fluorita/docs/inventories/2026-08-04-immersive-content/F6-A.numstat.tsv
96	0	7aa6fc260449e6c362da05674b5a8228f7795ea095ab7c7df30ede754a7a0ad0	fluorita/docs/plans/active/2026-08-04-immersive-content.md
1	0	ca69db62ab6735eb96f61ba3066a9c968aa60816e476c6d4b829f2217f32393d	fluorita/qml/CelestinaInputShield.qml
1	0	ca736884826ec69092c76d363d2eee080db50bbe0273cea514a15e31de3a985c	fluorita/qml/CelestinaModalLayer.qml
1	0	bdb8d09c6b297173b022c76c6019c6bde7c0c06c2a2c684df48f94d81228be3e	fluorita/qml/GlassCard.qml
1	0	ebf3b19c1bb1ddba600feff7e77cffe157001ce8b7f5071bc92d7dd7c173b4c3	fluorita/qml/GlassContextMenu.qml
1	0	47b2fd86105f32aafe2dfb63013f2486a00e971575d108e54a644930011d211b	fluorita/qml/GlassMenuItem.qml
1	0	703af6df4940243b8efc7d215d246633aee454719b1019014f8da91923637550	fluorita/qml/GlassSurface.qml
196	10	78c7783bb8bdb451b27399a9fb6b7d02c2d664a3f1de96908f2c5f9107a27f34	fluorita/qml/Main.qml
85	0	f0d82cac661b9a01f771a897d486490cdc26f4eeb33fa40538f7d1c4afe93d72	fluorita/qml/components/AmbientLight.qml
108	0	cc34deaaa117f2446ecae681041cc5930204c2710f68635e60fba2e7f7f4c850	fluorita/qml/components/ContentArrows.qml
201	0	8a2ef7471cc7689cba7b5cc04c1fb798e4e7af7e0f1b571ae340ac604aee0a1d	fluorita/qml/components/ContentDock.qml
86	0	e3a190f6a1c889b982da5a19c15e473ee18f5a69bf2fde22183b3a93b88352ce	fluorita/qml/components/ContentNavigator.qml
59	9	057d4da95de31d53a1da016e486cabb8687786d47d89de60fd80eed972cbc3d3	fluorita/qml/components/GalleryGrid.qml
5	0	fac48e34388bee2e94e3a3d58ebc1a7ee82d1b2ab68246643e6650016baeaa75	fluorita/qml/components/ImageView.qml
136	0	d17cca15ffc173aa30c1659581e7e1c0054024db0e3166395d5c7d31961c484e	fluorita/qml/components/ItemDetailPanel.qml
39	0	c0d4b3ca6ddb242b7dde0ffcc18496d68ecdc36622ecbf9d189f8d664ec456bc	fluorita/qml/components/ItemMenu.qml
158	244	c9c00a31ecd15406b91ee7be21e14d480d688a9fc94f432465deaa34f8bcc7ca	fluorita/qml/components/LibrarySidebar.qml
72	8	2a3b9fbccc3efaa174d7c967384be83a527100e8cbf4e397ad330fbec310d318	fluorita/qml/components/LibraryView.qml
42	9	c3f7ab841251d5c97f41e6e628f9af298039874290f843be2580e590611e2230	fluorita/qml/components/MusicList.qml
39	1	9b032d7b14adbbf8caf4d6280e9f160835445bcf927b973a61b774341f8206c5	fluorita/qml/components/PlayerSurface.qml
102	0	add4f4e42d226e8e6ca0aa453007dea5da06fa09fe6babd61a4860177a778cc3	fluorita/qml/components/SidebarRow.qml
161	23	4a23ec2374aabbda9af06dff3eb9d587532ac0aff5e8098034fbc3f88546edb2	fluorita/src/library.rs
117	0	f17c75d85bead3a98fa3a537320207a1a3fc94b673a1139d9ff7538caf6ba3dd	fluorita/src/library/copy.rs
167	0	41eab83c132009631bd90c748d9950e0e95b3a698bb87ce0958f783717a221e4	fluorita/src/library/detail.rs
56	33	507ec352b870aa15f3ca2bec7d3586cfbc09dc9655e77a48cdb6abaa83dafe5a	fluorita/src/library/project.rs
46	13	2fc5976a4879e13034154a52a6c090a7229bf7cccd82b0d0acfb074f4d6e84f8	fluorita/src/library/work.rs
28	0	19dd4778cd031960aef6b516836322b63861c6d4cf38ed3cbe976fdea19e1cae	fluorita/src/player.rs
